5A8	Aleknagik / New Airport	US
CN-0169	Shanghai Dachang Air Base	CN
CN-0182	Zhangshu Air Base	CN
CN-0185	Changchun Air Base	CN
CN-0188	Beijing Nanjiao Airport	CN
CN-0189	Dandong Langtou Airport	CN
CN-0190	Dingxin-Shuangchengzi Air Base	CN
CN-0191	Fuxin Air Base	CN
CN-0192	Gongzhuling Air Base	CN
CN-0197	Kaiyuan Air Base	CN
CN-0198	Lalin Air Base	CN
CN-0201	Pingquan Air Base	CN
CN-0204	Shenyang Beiling Air Base	CN
CN-0206	Shenyang Yuhong Quansheng Airport	CN
CN-0208	Siping Air Base	CN
CN-0209	Suizhong Air Base	CN
CN-0210	Tuchengzi Air Base	CN
CN-0236	Xigaze Dingri Airport	CN
CN-0316	Chenghu General Airport	CN
CN-0317	Liyang Tianmuhu General Airport	CN
CN-0321	Anji Tianzihu General Airport	CN
CN-0331	Jiuzhou Airport	CN
CN-0344	Paozhuwan Air Base	CN
CN-0345	Shanpo Air Base	CN
CN-0353	Zhanjiang Wuchuan Airport	CN
CN-0396	Shaodong Airport	CN
CN-0401	Ningxiang	CN
CN-JNZ	Sanshilipu Air Base	CN
CN-NTG	Nantong Xingdong International Airport	CN
CNC3	Brampton-Caledon Airport	CA
CY-0002	Lefkoniko Airport / Geçitkale Air Base	CY
CYAC	Cat Lake Airport	CA
CYAG	Fort Frances Municipal Airport	CA
CYAH	La Grande-4 Airport	CA
CYAL	Alert Bay Airport	CA
CYAM	Sault Ste Marie Airport	CA
CYAQ	Kasabonika Airport	CA
CYAS	Kangirsuk Airport	CA
CYAT	Attawapiskat Airport	CA
CYAV	Winnipeg / St. Andrews Airport	CA
CYAX	Lac Du Bonnet Airport	CA
CYAY	St. Anthony Airport	CA
CYAZ	Tofino / Long Beach Airport	CA
CYBB	Kugaaruk Airport	CA
CYBC	Baie-Comeau Airport	CA
CYBD	Bella Coola Airport	CA
CYBE	Uranium City Airport	CA
CYBF	Bonnyville Airport	CA
CYBG	CFB Bagotville	CA
CYBK	Baker Lake Airport	CA
CYBL	Campbell River Airport	CA
CYBQ	Tadoule Lake Airport	CA
CYBR	Brandon Municipal Airport	CA
CYBT	Brochet Airport	CA
CYBU	Nipawin Airport	CA
CYBV	Berens River Airport	CA
CYBW	Calgary / Springbank Airport	CA
CYBX	Lourdes-de-Blanc-Sablon Airport	CA
CYCA	Cartwright Airport	CA
CYCB	Cambridge Bay Airport	CA
CYCC	Cornwall Regional Airport	CA
CYCD	Nanaimo Airport	CA
CYCE	Centralia / James T. Field Memorial Aerodrome	CA
CYCG	Castlegar/West Kootenay Regional Airport	CA
CYCH	Miramichi Airport	CA
